Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
VT06_T01_Launch_R01_/Account/Login/-344,30,845,797,1199,1354,1354,530,1354,0.00%,0.54198,1.28,0.2
VT06_T01_Launch,30,845,797,1199,1354,1354,530,1354,0.00%,0.45895,1.08,0.17
VT06_T02_Login_R01_/Account/Login?ReturnUrl=%2F,30,17549,15403,27809,28569,28569,3873,28569,0.00%,0.36306,26.18,1.29
VT06_T02_Login_R02_/,30,18401,22168,25648,27628,27628,3281,27628,0.00%,0.28199,26.25,0.9
VT06_T02_Login_R03_/Dashboard,30,17543,17313,24739,24794,24794,4225,24794,0.00%,0.24913,25.93,0.4
VT06_T02_Login_R04_/Instruction/Module/code/undefined/Content/en/get,30,1506,1661,2204,2277,2277,232,2277,0.00%,0.25415,0.13,0.42
VT06_T02_Login_R05_/Dashboard/getAPQPDashboardContent,30,1016,816,1787,1945,1945,233,1945,0.00%,0.2522,2.09,0.39
VT06_T02_Login_R06_/Dashboard/getAPQPProjectByCustomer,30,3228,2929,5511,5902,5902,860,5902,0.00%,0.24752,0.19,0.39
VT06_T02_Login_R07_/Dashboard/getAPQPProjectGanttHealth,30,38783,26504,58513,66435,66435,12136,66435,0.00%,0.16062,0.1,0.25
VT06_T02_Login_R08_/Dashboard/APQPVsPPAPChart,30,3219,1699,7346,8718,8718,1141,8718,0.00%,0.16914,0.08,0.28
VT06_T02_Login_R09_/Dashboard/getIMDSProgressStatusDetails,30,4554,3672,9103,12641,12641,597,12641,0.00%,0.16635,0.23,0.26
VT06_T02_Login_R010_/Dashboard/getAPQPProjectByMilestoneAndPlant,30,3193,1835,7940,10103,10103,680,10103,0.00%,0.16573,0.81,0.28
VT06_T02_Login_R011_/Dashboard/getAPQPProjectByMilestone,30,6758,5547,14558,16063,16063,1766,16063,0.00%,0.16153,0.1,0.25
VT06_T02_Login_R012_/Dashboard/getQtyChangedBOMComponents,30,2076,2074,2958,3108,3108,1184,3108,0.00%,0.16037,0.07,0.27
VT06_T02_Login_R013_/Dashboard/_partial_apqp_launch_schedule_chart_by_year,30,1653,1104,1641,6603,6603,623,6603,0.00%,0.15587,0.21,0.3
VT06_T02_Login,30,119485,102175,172542,172644,172644,31434,172644,0.00%,0.12878,37.17,3.19
/Customer/Incident,30,17195,18853,24412,26886,26886,5085,26886,0.00%,0.14949,21.54,0.24
/Account/GetProfileUserList,150,2535,1770,5102,7260,13126,286,13126,0.00%,0.09848,8.02,0.15
/Instruction/Module/code/undefined/Content/en/get,120,3823,2374,6935,7438,23369,335,23369,0.00%,0.08023,0.04,0.13
/CustomerIncident/getWatcherSummary,60,3174,3052,4653,5988,7499,447,7499,0.00%,0.04388,0.02,0.07
/CustomerIncident/getCustomerIncidentSummary,60,123111,126794,185502,266096,273772,32273,273772,0.00%,0.09651,1601.46,0.16
VT06_T03_NC_(Plant Quality) ,30,132385,141738,192357,194819,194819,49250,194819,0.00%,0.0783,1317.03,0.64
/Customer/Incident/Create,60,52441,36514,63630,154731,164856,22602,164856,0.00%,0.05585,11.85,0.2
/Admin/getDivisions,60,3364,2433,4507,5236,15259,1091,15259,0.00%,0.07286,0.03,0.11
/Admin/searchPlants,90,2293,1803,3805,4123,4773,792,4773,0.00%,0.08863,0.04,0.14
/Admin/getIncidentCategories,30,2641,2227,3966,5696,5696,331,5696,0.00%,0.06089,0.03,0.09
/Admin/getDepartments,60,2192,2063,3623,4106,4945,347,4945,0.00%,0.1171,0.05,0.18
/Admin/getAllProductLines,30,2741,2256,5290,6457,6457,404,6457,0.00%,0.05974,0.02,0.09
#NAME?,30,3054,2574,4062,6202,6202,1390,6202,0.00%,0.0593,0.02,0.09
/Admin/searchBusinessUnitsList,60,2699,2424,4302,5173,5689,914,5689,0.00%,0.11028,0.06,0.17
/Supplier/getSuppliersWithCode,30,6739,4758,12074,16837,16837,3374,16837,0.00%,0.05728,10.22,0.09
/Admin/getIncidentTypes,30,2890,1807,4966,7956,7956,982,7956,0.00%,0.05733,0.03,0.09
/Admin/getLocations,60,2605,2181,3974,4403,10702,472,10702,0.00%,0.11192,0.05,0.17
/Admin/searchIncidentPriorityList,30,3817,2507,4395,15915,15915,1086,15915,0.00%,0.05705,0.02,0.09
/Admin/searchAssetList,30,3561,2463,6125,8902,8902,1900,8902,0.00%,0.05691,0.02,0.09
/Admin/searchPartsList,30,260596,258730,314945,362462,362462,169850,362462,0.00%,0.03862,928.36,0.06
/Admin/getPartIndexes,30,206433,188399,278386,289179,289179,162767,289179,0.00%,0.04011,0.02,0.06
/Admin/getPrograms,30,7560,4548,16244,16379,16379,1749,16379,0.00%,0.05439,0.02,0.08
/Customer/getCustomers,30,2845,2277,6029,6558,6558,593,6558,0.00%,0.05459,0.03,0.08
/Admin/getPartRevisions,30,2420,1631,5265,6238,6238,814,6238,0.00%,0.05479,0.04,0.09
/Admin/getDefectsByDefectCategory,30,3066,1429,5007,12020,12020,964,12020,0.00%,0.05501,0.02,0.09
VT06_T04_Create new NC,30,722314,737428,848743,860600,860600,525860,860600,0.00%,0.02693,1109.61,1.23
/Customer/Incident/6005/View,3,28649,28649,28649,28649,28649,28649,28649,0.00%,0.10472,21.31,0.17
/Customer/Incident/6006/View,3,30937,30937,30937,30937,30937,30937,30937,0.00%,0.09697,19.73,0.16
/Instruction/Module/code/pq_ci_view/Content/en/get,30,4877,4861,7070,7210,7210,2112,7210,0.00%,0.05997,0.03,0.1
VT06_T05_Create-(NC),30,138135,124500,192985,211114,211114,65387,211114,0.00%,0.04137,16.92,0.5
/Customer/Incident/6007/View,3,46152,46152,46152,46152,46152,46152,46152,0.00%,0.065,13.23,0.11
/Customer/Incident/6005/Eight/Discipline/Create,3,32143,32143,32143,32143,32143,32143,32143,0.00%,0.09333,15.37,0.15
/Customer/Incident/6006/Eight/Discipline/Create,3,32188,32188,32188,32188,32188,32188,32188,0.00%,0.0932,15.35,0.15
/bundles/jquery-ui,30,3125,1869,5706,5823,5823,1178,5823,0.00%,0.05411,12.7,0.08
/Admin/GetAllPQ8D5YAnalysis,30,4891,4243,6973,7407,7407,1336,7407,0.00%,0.05309,0.02,0.09
VT06_T06_Process 8D,30,68938,62888,92164,108860,108860,39379,108860,0.00%,0.04816,27.13,0.46
-419,30,11073,9774,19417,19593,19593,3183,19593,0.00%,0.05116,0.02,0.12
/Customer/Incident/6007/Eight/Discipline/Create,3,32245,32245,32245,32245,32245,32245,32245,0.00%,0.09304,15.33,0.15
/Customer/Incident/6008/View,3,26233,26233,26233,26233,26233,26233,26233,0.00%,0.11436,23.27,0.19
/Customer/Incident/6009/View,3,40718,40718,40718,40718,40718,40718,40718,0.00%,0.07368,14.99,0.12
/Customer/Incident/6010/View,3,44063,44063,44063,44063,44063,44063,44063,0.00%,0.06808,13.85,0.11
/Customer/Incident/6008/Eight/Discipline/Create,3,42563,42563,42563,42563,42563,42563,42563,0.00%,0.07048,11.61,0.12
/Customer/Incident/6011/View,3,55798,55798,55798,55798,55798,55798,55798,0.00%,0.05377,10.94,0.09
/Customer/Incident/6009/Eight/Discipline/Create,3,40663,40663,40663,40663,40663,40663,40663,0.00%,0.07378,12.15,0.12
/Customer/Incident/6010/Eight/Discipline/Create,3,42818,42818,42818,42818,42818,42818,42818,0.00%,0.07006,11.54,0.11
/Customer/Incident/6011/Eight/Discipline/Create,3,49173,49173,49173,49173,49173,49173,49173,0.00%,0.06101,10.05,0.1
-420,30,114595,78620,240075,243061,243061,16449,243061,0.00%,0.04629,8.73,0.07
-421,30,3868,2391,8064,8740,8740,937,8740,0.00%,0.07235,16.98,0.11
-424,30,4106,1650,10896,11597,11597,1357,11597,0.00%,0.07182,0.03,0.12
-423,30,4123,3419,7375,7591,7591,1032,7591,0.00%,0.0708,1.59,0.12
-422,30,2514,1142,5640,6163,6163,778,6163,0.00%,0.07057,0.04,0.12
-425,30,4364,2374,10485,10793,10793,1291,10793,0.00%,0.06895,0.03,0.14
-426,30,6343,4989,9022,18198,18198,1757,18198,0.00%,0.06653,1,0.11
-427,30,3406,3186,6622,6978,6978,442,6978,0.00%,0.06644,0.03,0.14
-428,30,9754,9809,13016,15735,15735,333,15735,0.00%,0.06516,1.47,0.11
-429,30,3672,3589,7109,8971,8971,306,8971,0.00%,0.06612,0.03,0.14
-430,30,4962,509,16666,19683,19683,318,19683,0.00%,0.06523,1.48,0.11
-431,30,2695,760,7276,9656,9656,498,9656,0.00%,0.0649,0.03,0.13
VT06_T07_Create-(8D),30,175480,178223,283729,283951,283951,40139,283951,0.00%,0.03973,20.22,0.95
/Customer/Incident/6012/View,3,108970,108970,108970,108970,108970,108970,108970,0.00%,0.02753,5.6,0.04
/Customer/Incident/6013/View,3,108416,108416,108416,108416,108416,108416,108416,0.00%,0.02767,5.63,0.04
/Customer/Incident/6014/View,3,117190,117190,117190,117190,117190,117190,117190,0.00%,0.0256,5.21,0.04
/Customer/Incident/6012/Eight/Discipline/Create,3,66791,66791,66791,66791,66791,66791,66791,0.00%,0.04492,7.4,0.07
/Customer/Incident/6013/Eight/Discipline/Create,3,70449,70449,70449,70449,70449,70449,70449,0.00%,0.04258,7.01,0.07
/Customer/Incident/6014/Eight/Discipline/Create,3,76681,76681,76681,76681,76681,76681,76681,0.00%,0.03912,6.44,0.06
-440,30,354000,460189,467088,467089,467089,11369,467089,0.00%,0.05186,0.02,0.1
-501,24,43993,42693,48517,48517,48517,40040,48517,0.00%,0.45545,85.96,0.74
VT06_T02_Login_R01_/Account/Login?ReturnUrl=%2F-0,20,3380,3001,5558,7364,7364,376,7364,0.00%,0.32161,0.59,0.17
VT06_T02_Login_R01_/Account/Login?ReturnUrl=%2F-1,20,1010,562,1724,2951,2951,234,2951,0.00%,0.31479,0.17,0.48
VT06_T02_Login_R01_/Account/Login?ReturnUrl=%2F-2,20,13157,11871,21256,22275,22275,3261,22275,0.00%,0.24384,17.01,0.37
VT06_T02_Login_R02_/-0,20,1127,1352,1865,2077,2077,231,2077,0.00%,0.24908,0.13,0.4
VT06_T02_Login_R02_/-1,20,17274,20395,24213,26091,26091,3050,26091,0.00%,0.1884,17.44,0.3
/Customer/Incident/Create-0,20,36342,27673,104007,114623,114623,5192,114623,0.00%,0.03538,0.02,0.13
/Customer/Incident/Create-1,20,26615,22774,50233,50723,50723,5656,50723,0.00%,0.04375,8.9,0.07
TOTAL,2564,37094,3671,112488,192985,563560,231,860600,0.00%,1.3502,1895.63,4.12
